year,to_country,performer,song,place_contest,sf_num,running_final,running_sf,place_final,points_final,place_sf,points_sf,points_tele_final,points_jury_final,points_tele_sf,points_jury_sf
2021,Spain,Blas Cantó,Voy a quedarme,24,,13,,24,6,,,0,6,,
2021,Germany,Jendrik,I Don't Feel Hate,25,,15,,25,3,,,0,3,,
2021,United Kingdom,James Newman,Embers,26,,9,,26,0,,,0,0,,
2021,Croatia,Albina,Tick-Tock,27,1,,10,,,11,110,,,53,57
2021,Romania,Roxen,Amnesia,28,1,,13,,,12,85,,,27,58
2021,Denmark,Fyr og Flamme,�ve os p� hinanden,29,2,,17,,,11,89,,,80,9
2021,Austria,Vincent Bueno,Amen,30,2,,5,,,12,66,,,13,53
2021,Estonia,Uku Suviste,The Lucky One,31,2,,2,,,13,58,,,29,29
2021,Slovenia,Ana Sokli?,Amen,32,1,,2,,,13,44,,,8,36
2021,Poland,Rafa?,The Ride,33,2,,6,,,14,35,,,17,18
2021,Australia,Montaigne,Technicolor,34,1,,5,,,14,28,,,2,26
2021,North Macedonia,Vasil,Here I Stand,35,1,,6,,,15,23,,,11,12
2021,Czech Republic,Benny Cristo,Omaga,36,2,,3,,,15,23,,,0,23
2021,Ireland,Lesley Roy,Maps,37,1,,7,,,16,20,,,4,16
2021,Georgia,Tornike Kipiani,You,38,2,,10,,,16,16,,,15,1
2021,Latvia,Samanta Tīna,The Moon Is Rising,39,2,,15,,,17,14,,,10,4
2022,Ukraine,Kalush Orchestra,Stefania,1,1,12,6,1,631,1,337,439,192,202,135
2022,United Kingdom,Sam Ryder,SPACE MAN,2,,22,,2,466,,,183,283,,
2022,Spain,Chanel,SloMo,3,,10,,3,459,,,228,231,,
2022,Sweden,Cornelia Jakobs,Hold Me Closer,4,2,20,17,4,438,1,396,180,258,174,222
2022,Serbia,Konstrakta,In corpore sano,5,2,24,3,5,312,3,237,225,87,174,63
2022,Italy,Mahmood & Blanco,Brividi,6,,9,,6,268,,,110,158,,
2022,Moldova,Zdob si Zdub & Advahov Brothers,Trenuletul,7,1,19,9,7,253,8,154,239,14,135,19
2022,Greece,Amanda Georgiadi Tenfjord,Die Together,8,1,17,15,8,215,3,211,57,158,60,151
2022,Portugal,Maro,"Saudade, Saudade",9,1,3,10,9,207,4,208,36,171,87,121
2022,Norway,Subwoolfer,Give That Wolf a Banana,10,1,7,16,10,182,6,177,146,36,104,73
2022,Netherlands,S10,Die Diepte,11,1,11,8,11,171,2,221,42,129,79,142
2022,Poland,Ochman,River,12,2,23,14,12,151,6,198,105,46,114,84
2022,Estonia,Stefan,Hope,13,,25,12,13,141,5,209,98,43,96,113
2022,Lithuania,Monika Liu,Sentimentai,14,1,14,3,14,128,7,159,93,35,103,56
2022,Australia,Sheldon Riley,Not The Same,15,2,21,8,15,125,2,243,2,123,74,169
2022,Azerbaijan,Nadir Rustamili,Fade to Black,16,,15,4,16,106,10,96,3,103,0,96
2022,Switzerland,Marius Bear,Boys Do Cry,17,1,5,4,17,78,9,118,0,78,11,107
2022,Romania,WRS,Llamame,18,2,2,13,18,65,9,118,53,12,100,18
2022,Belgium,Jeremie Makiese,Miss You,19,2,16,8,19,64,8,151,5,59,46,105
2022,Armenia,Rosa Linn,Snap,20,1,8,17,20,61,5,187,21,40,105,82
2022,Finland,The Rasmus,Jezebel,21,2,4,1,21,38,7,162,26,12,99,63
2022,Czech Republic,We Are Domi,Lights Off,22,2,1,18,22,38,4,227,5,33,125,102
2022,Iceland,Systur,Me� h�kkandi s�l,23,1,18,14,23,20,10,103,10,10,39,64
2022,France,Alvan & Ahez,Fulenn,24,,6,,24,17,,,8,9,,
2022,Germany,Malik Harris,Rockstars,25,,13,,25,6,,,6,0,,
2022,Croatia,Mia Dimsic,Guilty Pleasure,26,1,,11,,,11,75,,,33,42
2022,North Macedonia,Andrea,Circles,27,2,,11,,,11,76,,,20,56
2022,Albania,Ronela Hajati,Sekret,28,1,,1,,,12,58,,,46,12
2022,Cyprus,Andromache,Ela,29,2,,9,,,12,63,,,54,9
2022,Israel,Michael Ben David,I. M,30,2,,2,,,13,61,,,27,34
2022,Denmark,Reddi,The Show,31,1,,12,,,13,55,,,20,35
2022,Latvia,Citi Zeni,Eat Your Salad,32,1,,2,,,14,55,,,16,39
2022,San Marino,Achille Lauro,Stripper,33,2,,7,,,14,50,,,29,21
2022,Ireland,Brooke Scullion,That's Rich,34,2,,10,,,15,47,,,35,12
2022,Malta,Emma Muscat,I Am What I Am,35,2,,6,,,16,47,,,20,27
2022,Austria,LUM!X & Pia Maria,Halo,36,1,,13,,,15,42,,,36,6
2022,Montenegro,Vladana,Breathe,37,2,,15,,,17,33,,,22,11
2022,Bulgaria,Intelligent Music Project,Intention,38,1,,7,,,16,29,,,18,11
2022,Georgia,Circus Mircus,Lock Me In,39,2,,5,,,18,22,,,9,13
2022,Slovenia,LPS,Disko,40,1,,5,,,17,15,,,8,7
2023,Sweden,Loreen,Tattoo,1,1,9,9,1,583,2,135,243,340,135,
2023,Finland,Kaarija,Cha Cha Cha,2,1,13,13,2,526,1,177,376,150,177,
2023,Israel,Noa Kirel,Unicorn,3,1,23,23,3,362,3,127,185,177,127,
2023,Italy,Marco Mengoni,Due Vite,4,,11,11,4,350,,,174,176,,
2023,Norway,Alessandra,Queen of Kings,5,1,20,20,5,268,6,102,216,52,102,
2023,Ukraine,Tvorchi,Heart of Steel,6,,19,19,6,243,,,189,54,,
2023,Belgium,Gustaph,Because of You,7,2,16,16,7,182,8,90,55,127,90,
2023,Estonia,Alika,Bridges,8,2,12,12,8,168,10,74,22,146,74,
2023,Australia,Voyager,Promise,9,2,15,15,9,151,1,149,21,130,149,
2023,Czech Republic,Vesna,My Sister's Crown,10,1,14,14,10,129,4,110,35,94,110,
2023,Lithuania,Monika Linkyte,Stay,11,2,22,22,11,127,4,110,46,81,110,
2023,Cyprus,Andrew Lambrou,Break a Broken Heart,12,2,7,7,12,126,7,94,58,68,94,
2023,Croatia,Let 3,Mama �?!,13,1,25,25,13,123,8,76,112,11,76,
2023,Armenia,Brunette,Future Lover,14,2,17,17,14,122,6,99,53,69,99,
2023,Austria,Teya & Salena,Who The Hell Is Edgar?,15,2,1,1,15,120,2,137,16,104,137,
2023,France,La Zarra,Evidement,16,,6,6,16,104,,,50,54,,
2023,Spain,Blanca Paloma,Eaea,17,,8,8,17,100,,,5,95,,
2023,Moldova,Pasha Parfeni,Soarele si Luna,18,1,18,18,18,96,5,109,76,20,109,
2023,Poland,Blanka,Solo,19,2,4,4,19,93,3,124,81,12,124,
2023,Switzerland,Remo Forrer,Watergun,20,1,3,3,20,92,7,97,31,61,97,
2023,Slovenia,Joker Out,Carpe Diem,21,2,24,24,21,78,5,103,45,33,103,
2023,Albania,Albina and Familija Kelmendi,Duje,22,2,10,10,22,76,9,83,59,17,83,
2023,Portugal,Mimicat,Ai cora��o,23,1,2,2,23,59,9,74,16,43,74,
2023,Serbia,Luke Black,Samo me si spava,24,1,5,5,24,30,10,37,16,14,37,
2023,United Kingdom,Mae Muller,I Wrote a Song,25,,26,26,25,24,,,9,15,,
2023,Germany,Lord of the Lost,Blood and Glitter,26,,21,21,26,18,,,3,15,,
2023,Iceland,Dilja,Power,27,2,,,,,11,44,,,44,
2023,Latvia,Sudden Lights,Aija,28,1,,,,,11,34,,,34,
2023,Georgia,Iru,Echo,29,2,,,,,12,33,,,33,
2023,Greece,Victor Vernicos,What They Say,30,2,,,,,13,14,,,14,
2023,Ireland,Wild Youth,We Are One,31,1,,,,,12,10,,,10,
2023,Netherlands,Mia Nicolai & Dion Cooper,Burning Daylight,32,1,,,,,13,7,,,7,
2023,Denmark,Reiley,Breaking My Heart,33,2,,,,,14,6,,,6,
2023,Azerbaijan,TuranTuralX,Tell Me More,34,1,,,,,14,4,,,4,
2023,Malta,The Busker,Dance (Our Own Party),35,1,,,,,15,3,,,3,
2023,Romania,Theodor Andrei,D.G.T (Off and On),36,2,,,,,15,0,,,0,
2023,San Marino,Piqued Jacks,Like an Animal,37,2,,,,,16,0,,,0,
year,to_country,performer,song,place_contest,sf_num,running_final,running_sf,place_final,points_final,place_sf,points_sf,points_tele_final,points_jury_final,points_tele_sf,points_jury_sf
